"","dataid","clusterid","block","Nhh","Nlt18","Ncomp","momage","momheight","momeduy","dadeduy","dadagri","landacre","hfias","hfiacat","tubewell","watmin","storewat","treatwat","latown","latslab","latseal","latfeces","potty","humfeces","humfecesch","hwsw","hwss","hwsws","roof","walls","floor","cement","elec","asset_radio","asset_tvbw","asset_tvcol","asset_refrig","asset_bike","asset_moto","asset_sewmach","asset_phone","asset_tv","asset_wardrobe","asset_table","asset_chair","asset_clock","asset_khat","asset_chouki","asset_mobile","n_asset_mobile","hwcat"
"94","29108","291",2,4,2,10,25,149.2,7,9,0,0.06,0,"Food Secure",0,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,2,NA
"95","29201","292",2,4,2,9,23,154.5,3,5,0,0.03,6,"Moderately Food Insecure",0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,2,1
"96","29202","292",2,4,2,14,22,151.85,0,5,0,0.01,18,"Severely Food Insecure",1,1,1,0,0,1,0,1,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,NA
"97","29203","292",2,5,2,5,18,151.35,6,5,1,0.3,0,"Food Secure",0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1
"98","29204","292",2,3,1,27,21,150.1,7,0,0,0.01,0,"Food Secure",0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
"99","29205","292",2,11,4,11,25,NA,10,0,0,0.09,0,"Food Secure",0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,4,2
"100","29206","292",2,3,1,17,17,145.6,7,4,0,0.01,0,"Food Secure",0,0,1,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"101","29207","292",2,5,3,15,32,138.65,0,0,0,0.02,0,"Food Secure",0,1,1,0,1,0,NA,0,0,0,0,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA
"102","29208","292",2,11,5,18,25,149.1,8,5,0,0.17,0,"Food Secure",0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,6,1
"103","29301","293",2,5,2,15,37,154.3,7,2,0,0.2,0,"Food Secure",0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
